D,M,M',F,koefisien
0,0,1,0,-20905355
2,0,-1,0,-3699111
2,0,0,0,-2955968
0,0,2,0,-569925
2,0,-2,0,246158
2,-1,0,0,-204586
2,0,1,0,-170733
2,-1,-1,0,-152138
0,1,-1,0,-129620
1,0,0,0,108743
0,1,1,0,104755
0,0,1,-2,79661
0,1,0,0,48888
4,0,-1,0,-34782
2,1,0,0,30824
2,1,-1,0,24208
0,0,3,0,-23210
4,0,-2,0,-21636
1,1,0,0,-16675
2,0,-3,0,14403
2,-1,1,0,-12831
4,0,0,0,-11650
2,0,2,0,-10445
2,0,0,-2,10321
2,-1,-2,0,10056
2,-2,0,0,-9884
2,0,-1,-2,8752
1,0,-1,0,-8379
0,1,-2,0,-7003
1,0,1,0,6322
0,1,2,0,5751
2,-2,-1,0,-4950
0,0,2,-2,-4421
2,0,1,-2,4130
4,-1,-1,0,-3958
3,0,-1,0,3258
0,0,0,2,-3149
2,1,1,0,2616
2,2,-1,0,2354
0,2,-1,0,-2117
4,-1,-2,0,-1897
1,0,-2,0,-1739
4,-1,0,0,-1571
4,0,1,0,-1423
0,2,1,0,1165
0,0,4,0,-1117
