D,M,M',F,koefisien
0,0,1,0,6288774
2,0,-1,0,1274027
2,0,0,0,658314
0,0,2,0,213618
0,1,0,0,-185116
0,0,0,2,-114332
2,0,-2,0,58793
2,-1,-1,0,57066
2,0,1,0,53322
2,-1,0,0,45758
0,1,-1,0,-40923
1,0,0,0,-34720
0,1,1,0,-30383
2,0,0,-2,15327
0,0,1,2,-12528
0,0,1,-2,10980
4,0,-1,0,10675
0,0,3,0,10034
4,0,-2,0,8548
2,1,-1,0,-7888
2,1,0,0,-6766
1,0,-1,0,-5163
1,1,0,0,4987
2,-1,1,0,4036
2,0,2,0,3994
4,0,0,0,3861
2,0,-3,0,3665
0,1,-2,0,-2689
2,0,-1,2,-2602
2,-1,-2,0,2390
1,0,1,0,-2348
2,-2,0,0,2236
0,1,2,0,-2120
0,2,0,0,-2069
2,-2,-1,0,2048
2,0,1,-2,-1773
2,0,0,2,-1595
4,-1,-1,0,1215
0,0,2,2,-1110
3,0,-1,0,-892
2,1,1,0,-810
4,-1,-2,0,759
0,2,-1,0,-713
2,2,-1,0,-700
2,1,-2,0,691
2,-1,0,-2,596
4,0,1,0,549
0,0,4,0,537
4,-1,0,0,520
1,0,-2,0,-487
2,1,0,-2,-399
0,0,2,-2,-381
1,1,1,0,351
3,0,-2,0,-340
4,0,-3,0,330
2,-1,2,0,327
0,2,1,0,-323
1,1,-1,0,299
2,0,3,0,294
