D,M,M',F,Ω,koefisien 1,koefisien 2
0,0,0,0,1,92025,8.9
-2,0,0,2,2,5736,-3.1
0,0,0,2,2,977,-0.5
0,0,0,0,2,-895,0.5
0,1,0,0,0,54,-0.1
0,0,1,0,0,-7,0
-2,1,0,2,2,224,-0.6
0,0,0,2,1,200,0
0,0,1,2,2,129,-0.1
-2,-1,0,2,2,-95,0.3
-2,0,1,0,0,0,0
-2,0,0,2,1,-70,0
0,0,-1,2,2,-53,0
2,0,0,0,0,0,0
0,0,1,0,1,-33,0
2,0,-1,2,2,26,0
0,0,-1,0,1,32,0
0,0,1,2,1,27,0
-2,0,2,0,0,0,0
0,0,-2,2,1,-24,0
2,0,0,2,2,16,0
0,0,2,2,2,13,0
0,0,2,0,0,0,0
-2,0,1,2,2,-12,0
0,0,0,2,0,0,0
-2,0,0,2,0,0,0
0,0,-1,2,1,-10,0
0,2,0,0,0,0,0
2,0,-1,0,1,-8,0
-2,2,0,2,2,7,0
0,1,0,0,1,9,0
-2,0,1,0,1,7,0
0,-1,0,0,1,6,0
0,0,2,-2,0,0,0
2,0,-1,2,1,5,0
2,0,1,2,2,3,0
0,1,0,2,2,-3,0
-2,1,1,0,0,0,0
0,-1,0,2,2,3,0
2,0,0,2,1,3,0
2,0,1,0,0,0,0
-2,0,2,2,2,-3,0
-2,0,1,2,1,-3,0
2,0,-2,0,1,3,0
2,0,0,0,1,3,0
0,-1,1,0,0,0,0
-2,-1,0,2,1,3,0
-2,0,0,0,1,3,0
0,0,2,2,1,3,0
-2,0,2,0,1,0,0
-2,1,0,2,1,0,0
0,0,1,-2,0,0,0
-1,0,1,0,0,0,0
-2,1,0,0,0,0,0
1,0,0,0,0,0,0
0,0,1,2,0,0,0
0,0,-2,2,2,0,0
-1,-1,1,0,0,0,0
0,1,1,0,0,0,0
0,-1,1,2,2,0,0
2,-1,-1,2,2,0,0
0,0,3,2,2,0,0
2,-1,0,2,2,0,0
