jam   tanggal      alt          az          ar          dek        lat        long
11   12/6/2024   8.74        73.47       152.57      15.05       3.51        149.17      
12   12/6/2024   22.54       70.56       153.04      14.84       3.48        149.68      
13   12/6/2024   36.03       65.9        153.51      14.63       3.45        150.18      
14   12/6/2024   48.91       58.04       153.99      14.42       3.41        150.68      
15   12/6/2024   60.32       43.5        154.46      14.21       3.38        151.18      
16   12/6/2024   67.86       15.64       154.93      14.0        3.35        151.69      
17   12/6/2024   67.24       338.05      155.39      13.79       3.31        152.19      
18   12/6/2024   58.95       312.23      155.86      13.57       3.28        152.69      
19   12/6/2024   47.22       298.81      156.33      13.36       3.25        153.19      
20   12/6/2024   34.18       291.37      156.79      13.15       3.21        153.69      
