jam   tanggal      alt         az          ar          dek       lat          long
11   12/6/2024   58.69       12.89       80.96       23.18       0.28        81.69       
12   12/6/2024   58.57       346.24      81.0        23.18       0.27        81.73       
13   12/6/2024   52.25       324.51      81.04       23.18       0.27        81.77       
14   12/6/2024   42.12       310.65      81.09       23.19       0.27        81.81       
15   12/6/2024   30.11       302.24      81.13       23.19       0.26        81.85       
16   12/6/2024   17.16       297.08      81.17       23.19       0.26        81.89       
17   12/6/2024   3.73        293.97      81.22       23.19       0.25        81.93       
18   12/6/2024   -9.96       292.37      81.26       23.2        0.25        81.97       
19   12/6/2024   -23.74      292.17      81.3        23.2        0.25        82.01       
20   12/6/2024   -37.46      293.7       81.35       23.2        0.24        82.05       
21   12/6/2024   -50.87      298.13      81.39       23.2        0.24        82.09       
22   12/6/2024   -63.36      309.03      81.43       23.2        0.23        82.13       
23   12/6/2024   -72.65      337.04      81.47       23.21       0.23        82.17       
 0   13/6/2024   -72.46      24.21       81.52       23.21       0.23        82.21       
 1   13/6/2024   -63.0       51.45       81.56       23.21       0.22        82.25       
 2   13/6/2024   -50.47      62.05       81.6        23.21       0.22        82.29       
 3   13/6/2024   -37.04      66.36       81.65       23.22       0.21        82.33       
 4   13/6/2024   -23.32      67.82       81.69       23.22       0.21        82.37       
 5   13/6/2024   -9.55       67.57       81.73       23.22       0.2         82.41       
 6   13/6/2024   4.13        65.93       81.78       23.22       0.2         82.45       
 7   13/6/2024   17.56       62.76       81.82       23.23       0.19        82.49       
 8   13/6/2024   30.48       57.52       81.86       23.23       0.19        82.53       
 9   13/6/2024   42.44       48.98       81.91       23.23       0.19        82.57       
10   13/6/2024   52.47       34.91       81.95       23.23       0.18        82.61       
